epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.707,0.50568,1.9526,0.99029,1,0.31086,0.995,0.95887,0.26185,2.23507,0.75927,0.00022,0.00022,0.00022
2,135.876,0.50165,0.95475,0.93814,1,0.26298,0.96041,0.66024,0.86073,2.60276,1.15217,0.000450892,0.000450892,0.000450892
3,203.084,0.48879,0.86563,0.94015,0.98289,0.95755,0.98876,0.83741,0.58121,1.81376,0.90861,0.00067228,0.00067228,0.00067228
4,273.273,0.49545,0.82306,0.9289,0.99771,1,0.995,0.92283,0.36858,1.19319,0.7904,0.000884164,0.000884164,0.000884164
5,348.083,0.49978,0.77455,0.92186,0.98204,1,0.99451,0.93371,0.35375,1.01818,0.79231,0.00108654,0.00108654,0.00108654
6,429.25,0.50127,0.75996,0.94567,0.97818,0.9,0.98553,0.93747,0.33311,1.52736,0.78655,0.00127942,0.00127942,0.00127942
7,507.888,0.49492,0.70911,0.9403,0.96755,1,0.98977,0.90809,0.37716,0.78836,0.81016,0.00146279,0.00146279,0.00146279
8,585.795,0.47851,0.70871,0.91238,0.96746,0.98333,0.99184,0.91811,0.38593,0.78722,0.80189,0.00163666,0.00163666,0.00163666
9,663.146,0.53497,0.70099,0.94995,0.98357,0.99756,0.99123,0.87968,0.5234,0.88715,0.8873,0.0016832,0.0016832,0.0016832
10,749.466,0.50158,0.65201,0.92409,1,0.99999,0.995,0.76353,0.7443,0.96957,1.00094,0.0016436,0.0016436,0.0016436
11,842.514,0.48586,0.6048,0.92586,0.99836,1,0.995,0.94442,0.33084,0.63771,0.78713,0.001604,0.001604,0.001604
12,929.418,0.41938,0.55598,0.90718,0.99617,1,0.995,0.97128,0.27724,0.56047,0.76007,0.0015644,0.0015644,0.0015644
13,1017.15,0.41958,0.52363,0.89506,0.99288,1,0.995,0.94634,0.28757,0.55463,0.76383,0.0015248,0.0015248,0.0015248
14,1103.99,0.4252,0.51144,0.89903,0.9961,1,0.995,0.94559,0.28834,0.53366,0.7652,0.0014852,0.0014852,0.0014852
15,1187.41,0.41941,0.50536,0.88884,0.98343,0.98946,0.99484,0.97057,0.26995,0.44927,0.76192,0.0014456,0.0014456,0.0014456
16,1272.29,0.42222,0.49557,0.90798,0.99652,1,0.995,0.96915,0.25243,0.42884,0.75102,0.001406,0.001406,0.001406
17,1416.83,0.43488,0.46802,0.90465,0.9978,1,0.995,0.95403,0.32308,0.41106,0.77042,0.0013664,0.0013664,0.0013664
18,1540.84,0.41676,0.46875,0.88582,0.99636,1,0.995,0.9711,0.26252,0.39032,0.75217,0.0013268,0.0013268,0.0013268
19,1653.34,0.3876,0.43228,0.88675,0.99876,1,0.995,0.95687,0.29751,0.39582,0.76398,0.0012872,0.0012872,0.0012872
20,1784.05,0.39632,0.42227,0.88525,0.99879,1,0.995,0.9805,0.26758,0.38407,0.76137,0.0012476,0.0012476,0.0012476
21,1901.59,0.4022,0.41012,0.88816,0.99876,1,0.995,0.96793,0.29846,0.37461,0.76679,0.001208,0.001208,0.001208
